Title	Note	URL	Tags	Comment
The Dream Suite	峴港6/11-17住宿	https://www.google.com/maps/place/The+Dream+Suite/data=!4m2!3m1!1s0x31421783dd29d14f:0x7151e5bff6df4e2		
A La Carte Danang Beach	峴港太陽世界巴拿山的tour 早上8:30集合地點，回16:30	https://www.google.com/maps/place/A+La+Carte+Danang+Beach/data=!4m2!3m1!1s0x3142178414e2dd27:0xe82c30135e1d5f85		
Nhà hàng Nón Lá		https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+N%C3%B3n+L%C3%A1/data=!4m2!3m1!1s0x31420db1e2daf741:0xdb4a5a23b1485833		
My Khe Beach		https://www.google.com/maps/place/My+Khe+Beach/data=!4m2!3m1!1s0x3142177a66590321:0xf36c13917474b9d		
My Khe Beach		https://www.google.com/maps/place/My+Khe+Beach/data=!4m2!3m1!1s0x31421782f7fa0ee3:0xeafb8ba272ee55ac		
Museum of Folk Culture		https://www.google.com/maps/place/Museum+of+Folk+Culture/data=!4m2!3m1!1s0x31420e7e551ddfc3:0x6b5df4f6f6573f7a		
Museum of Trade Ceramics		https://www.google.com/maps/place/Museum+of+Trade+Ceramics/data=!4m2!3m1!1s0x31420e7efb9ee7eb:0xcb737d31aba2e61e		
Quan Cong Temple		https://www.google.com/maps/place/Quan+Cong+Temple/data=!4m2!3m1!1s0x31420e7f6c511f01:0xf1fb397be3ac0e2a		
Ba Mu Temple Gate		https://www.google.com/maps/place/Ba+Mu+Temple+Gate/data=!4m2!3m1!1s0x31420f000b629463:0xf1bd317bef32799f		
Ellie's Cafe Hoi An - Healthy Breakfast- Brunch- Lunch	吃	https://www.google.com/maps/place/Ellie's+Cafe+Hoi+An+-+Healthy+Breakfast-+Brunch-+Lunch/data=!4m2!3m1!1s0x31420f03fac9947b:0xb9c978aca1814668		
Tiệm Chè Xíu - Chè Ngon Hội An	甜點	https://www.google.com/maps/place/Ti%E1%BB%87m+Ch%C3%A8+X%C3%ADu+-+Ch%C3%A8+Ngon+H%E1%BB%99i+An/data=!4m2!3m1!1s0x31420f87b42221e9:0xab09886d8af8b19b		
The Center for Culture and Sports of Hoi An city	每天10:15、15:15及16:15皆有傳統民俗音樂及舞蹈表演	https://www.google.com/maps/place/The+Center+for+Culture+and+Sports+of+Hoi+An+city/data=!4m2!3m1!1s0x31420e7cfdd3ff2f:0x8d2d1f8f0f6c7565		
Sông Hoài Square		https://www.google.com/maps/place/S%C3%B4ng+Ho%C3%A0i+Square/data=!4m2!3m1!1s0x31420e7d1d4b19e1:0x69e88625d8887763		
